,Date,Map,Name,Hero,Kill,Death,TTCU,TTUU
0,4/1/2019,RIALTO,SUPER,reinhardt,7,11,"[135.5, 59.25, 62.75, 62.25, 43.25, 53.75, 60.0, 48.75, 110.25]","[19.75, 31.75, 28.25, 6.0, 15.25, 74.0, 4.75, 5.75]"
1,4/1/2019,RIALTO,CHOIHYOBIN,dva,10,4,"[150.25, 77.75, 94.5, 104.5, 68.25, 159.5]","[20.75, 5.75, 58.25, 14.5, 29.0]"
2,4/1/2019,RIALTO,SINATRAA,zarya,11,6,"[89.5, 65.5, 59.25, 76.5, 26.75, 37.5, 73.25, 48.25, 50.75, 51.0, 85.75]","[3.0, 12.75, 5.0, 15.75, 38.5, 6.25, 33.5, 7.25, 6.5, 16.25]"
3,4/1/2019,RIALTO,RASCAL,baptiste,0,5,"[60.5, 65.25, 31.5, 43.0, 46.75]","[14.0, 8.75, 12.5, 29.25, 25.75, 68.5]"
4,4/1/2019,RIALTO,RASCAL,brig,2,5,"[77.75, 75.5, 58.75, 75.0]","[12.5, 10.5, 56.5, 13.25]"
5,4/1/2019,RIALTO,MOTH,lucio,2,8,"[87.0, 85.25, 89.0, 68.5, 128.25, 103.75]","[10.25, 63.25, 84.0, 8.5, 60.25]"
6,4/1/2019,RIALTO,NIGHTHAWK,zenyatta,8,5,"[69.25, 77.75, 52.25, 42.75, 84.0, 98.5, 34.25, 49.0, 84.75]","[14.25, 6.25, 21.5, 7.0, 6.25, 33.5, 114.75, 5.75, 8.0]"
7,4/1/2019,RIALTO,OGE,reinhardt,6,10,"[89.25, 61.25, 68.5, 69.5, 51.25, 43.25, 47.75, 54.25, 45.25]","[6.75, 7.25, 8.75, 5.5, 19.75, 47.25, 5.5, 22.25, 38.75]"
8,4/1/2019,RIALTO,OGE,hammond,2,0,[56.75],[7.5]
9,4/1/2019,RIALTO,PERALTA,dva,10,6,"[90.25, 75.0, 32.25, 97.75, 31.0, 83.5, 10.0, 85.0, 112.0]","[59.5, 9.75, 9.5, 11.5, 13.75, 14.0, 1.5, 36.0, 38.5, 1.0, 5.0, 4.25]"
10,4/1/2019,RIALTO,AKM,zarya,10,7,"[85.75, 76.25, 63.25, 64.5, 56.75, 77.5, 79.0]","[6.0, 18.5, 10.5, 87.25, 60.75, 14.75, 33.5]"
11,4/1/2019,RIALTO,ZACHAREEE,baptiste,4,6,"[67.0, 29.0, 38.5, 41.0, 32.25, 55.75, 31.0, 42.25, 54.0, 56.0, 49.75, 39.0, 36.5]","[11.25, 37.5, 46.0, 9.25, 19.0, 8.75, 10.75, 9.5, 9.75, 14.0, 6.5, 31.0, 26.5, 17.5]"
12,4/1/2019,RIALTO,UNKOE,zenyatta,7,6,"[84.0, 73.5, 59.25, 65.75, 52.25, 71.0, 62.75, 73.0]","[10.0, 6.5, 6.25, 36.25, 39.75, 60.25, 34.25]"
13,4/1/2019,RIALTO,GOOS,lucio,5,5,"[93.0, 90.25, 81.75, 104.5, 114.25]","[68.0, 13.0, 58.5, 62.25, 10.25]"
